id,word,category,sentenceJapanese,sentenceRomaji,sentenceEnglish
sent-0001,上がる,Essential Verbs,学校が終わると、みんなの気分が上がった。,"Gakkou ga owaru to, minna no kibun ga agatta.","When school ended, everyone's mood lifted."
sent-0002,上がる,Essential Verbs,彼女が歌い始めると、周囲のテンションが上がった。,"Kanojo ga utaihajimeru to, shuui no tenshon ga agatta.","When she started singing, the excitement around her increased."
sent-0003,上がる,Essential Verbs,パーティーで彼が踊り始めると、皆の興奮が上がった。,"Paatii de kare ga odorihajimeru to, mina no koufun ga agatta.","When he started dancing at the party, everyone's excitement increased."
sent-0004,上がる,Essential Verbs,プレゼンテーションが成功した後、私の自信が上がった。,"Purezentēshon ga seikou shita ato, watashi no jishin ga agatta.","After the presentation succeeded, my confidence increased."
sent-0005,上がる,Essential Verbs,外が暖かくなり、温度が上がり始めた。,"Soto ga atatakaku nari, ondo ga agarihajimeta.","As it got warmer outside, the temperature started to rise."
sent-0006,上げる,Essential Verbs,手を上げると質問をすることができる。,Te o ageru to shitsumon o suru koto ga dekiru,You can ask a question by raising your hand.
sent-0007,上げる,Essential Verbs,彼女は喜びの声を上げた。,Kanojo wa yorokobi no koe o ageta.,She raised her voice in joy.
sent-0008,上げる,Essential Verbs,メーターの数値を上げる必要がある。,Meetaa no suuchi o ageru hitsuyou ga aru,It is necessary to raise the numerical value of the meter.
sent-0009,上げる,Essential Verbs,彼は株価を上げるために努力している。,Kare wa kabuka o ageru tame ni doryoku shite iru.,He is working hard to raise the stock price.
sent-0010,上げる,Essential Verbs,パーティーの準備ができたら、みんなの気分を上げましょう。,"Paatii no junbi ga dekitara, minna no kibun o agemashou.",Let's boost everyone's mood once the party preparations are complete.
sent-0011,挙げる,Essential Verbs,成績が良い学生の名前を挙げた。,Seiseki ga yoi gakusei no namae o ageta.,I mentioned the names of students with good grades.
sent-0012,挙げる,Essential Verbs,彼はその問題に対する解決策を3つ挙げました。,Kare wa sono mondai ni taisuru kaiketsu-saku o mittsu ageta.,He cited three solutions to the problem.
