Kanji,Hiragana,Romaji,English,Level,PronunciationURL,Topic,Part_of_Speech
会う,あう,au,to meet,N5,,General,General
青,あお,ao,blue,N5,,General,General
青い,あおい,aoi,blue,N5,,General,General
赤,あか,aka,red,N5,,General,General
赤い,あかい,akai,red,N5,,General,General
明い,あかるい,akarui,bright,N5,,General,General
秋,あき,aki,autumn,N5,,General,General
開く,あく,aku,"to open, to become open",N5,,General,General
開ける,あける,akeru,to open,N5,,General,General
上げる,あげる,ageru,to give,N5,,General,General
朝,あさ,asa,morning,N5,,General,General
朝御飯,あさごはん,asagohan,breakfast,N5,,General,General
,あさって,asatte,day after tomorrow,N5,,General,General
足,あし,ashi,"foot, leg",N5,,General,General
明日,あした,ashita,tomorrow,N5,,General,General
,あそこ,asoko,over there,N5,,General,General
遊ぶ,あそぶ,asobu,"to play, to make a visit",N5,,General,General
暖かい,あたたかい,atatakai,warm,N5,,General,General
頭,あたま,atama,head,N5,,General,General
新しい,あたらしい,atarashii,new,N5,,General,General
,あちら,achira,there,N5,,General,General
暑い,あつい,atsui,hot,N5,,General,General
熱い,あつい,atsui,hot to the touch,N5,,General,General
厚い,あつい,atsui,"kind, deep, thick",N5,,General,General
,あっち,acchi,over there,N5,,General,General
後,あと,ato,afterwards,N5,,General,General
,あなた,anata,you,N5,,General,General
兄,あに,ani,(humble) older brother,N5,,General,General
姉,あね,ane,(humble) older sister,N5,,General,General
,あの,ano,that over there,N5,,General,General
,アパート,アパート,apartment,N5,,General,General
,あびる,abiru,"to bathe, to shower",N5,,General,General
危ない,あぶない,abunai,dangerous,N5,,General,General
甘い,あまい,amai,sweet,N5,,General,General
,あまり,amari,not very,N5,,General,General
雨,あめ,ame,rain,N5,,General,General
飴,あめ,ame,candy,N5,,General,General
洗う,あらう,arau,to wash,N5,,General,General
,ある,aru,"to be,to have (used for inanimate objects)",N5,,General,General
歩く,あるく,aruku,to walk,N5,,General,General
,あれ,are,that,N5,,General,General
,いい/よい,ii/yoi,good,N5,,General,General
,いいえ,iie,no,N5,,General,General
言う,いう,iu,to say,N5,,General,General
家,いえ,ie,house,N5,,General,General
,いかが,ikaga,how,N5,,General,General
行く,いく,iku,to go,N5,,General,General
,いくつ,ikutsu,"how many?,how old?",N5,,General,General
,いくら,ikura,how much?,N5,,General,General
池,いけ,ike,pond,N5,,General,General
医者,いしゃ,isha,medical doctor,N5,,General,General
,いす,isu,chair,N5,,General,General
忙しい,いそがしい,isogashii,"busy, irritated",N5,,General,General
痛い,いたい,itai,painful,N5,,General,General
一,いち,ichi,one,N5,,General,General
一日,いちにち,ichinichi,first of the month,N5,,General,General
,いちばん,ichiban,"best, first",N5,,General,General
,いつ,itsu,when,N5,,General,General
五日,いつか,itsuka,"five days, fifth day",N5,,General,General
一緒,いっしょ,issho,together,N5,,General,General
五つ,いつつ,itsutsu,five,N5,,General,General
,いつも,itsumo,always,N5,,General,General
犬,いぬ,inu,dog,N5,,General,General
今,いま,ima,now,N5,,General,General
意味,いみ,imi,meaning,N5,,General,General
妹,いもうと,imouto,(humble) younger sister,N5,,General,General
嫌,いや,iya,unpleasant,N5,,General,General
入口,いりぐち,iriguchi,entrance,N5,,General,General
居る,いる,iru,"to be, to have (used for people and animals)",N5,,General,General
要る,いる,iru,to need,N5,,General,General
入れる,いれる,ireru,to put in,N5,,General,General
色,いろ,iro,colour,N5,,General,General
,いろいろ,iroiro,various,N5,,General,General
上,うえ,ue,on top of,N5,,General,General
後ろ,うしろ,ushiro,behind,N5,,General,General
薄い,うすい,usui,"thin,weak",N5,,General,General
歌,うた,uta,song,N5,,General,General
歌う,うたう,utau,to sing,N5,,General,General
生まれる,うまれる,umareru,to be born,N5,,General,General
